All Spare Parts /SNo,All Spare Parts /Item,All Spare Parts /Current Location,All Spare Parts /New Location,All Spare Parts /Status,All Spare Parts /Unit
387,Battery 3.6 V,6SP-12,,Yes,Pcs
388,Battery 3.6 V-1/2 Amp,6SP-12,,No,Pcs
389,Battery 6V /1.3 Ah,6SP-12,,No,Pcs
390,Battery Lithium (Model-Cr-2430)-3v,6SP-12,,Yes,Pcs
391,Battery Lithium- CR2477N,6SP-12,,No,Pcs
392,Battery-(4v-4AH),6SP-12,,No,Pcs
393,Halogen Bulb  500 W,6SP-12,,Yes,Pcs
394,Halogen Bulb 1000w 240 v,6SP-12,,Yes,Pcs
395,Hellogeing Light -500w,6SP-12,,Yes,Pcs
396,"Indicator Lamp 24v,5w",6SP-12,,Yes,Pcs
397,Limit Switch -10A,6SP-12,,Yes,Pcs
398,Registor 223(smd),6SP-12,,No,Pcs
399,Regulator -7905 big,6SP-12,,No,Pcs
400,Regulator/ LM 2940 T - 5.0.P,6SP-12,,No,Pcs
401,Signal Lamp,6SP-12,,Yes,Pcs
402,"Sealed Rechargeable Battery-
(4v-3AH)",6SP-12,,Yes,pcs
403,Halogen 230V,6SP-12,,Found Extra,
404,Push Switch Big (No),6SP-12,,Found Extra,
405,Circuit Breaker 06A TP,6SP-13,,No,Pcs
